"Código","País","Programa","Área","Oferente","Tipo curso","Título","Inicio","Fin","Duración","Idioma","Entrega documentos","Fecha comité becas","Institución","Ciudad","Cantidad","Porcentaje","Cubrimiento","Observaciones"
"6121318","España (Reino de España)","MBA - MÁSTER EN DIRECCIÓN Y ADMINISTRACIÓN DE EMPRESA","ADMINISTRACIÓN - ECONOMÍA","ESCUELA DE NEGOCIOS IESIDE","Presencial","TÍTULO OFICIAL","2018-10-01","2019-12-31","15 Mes(es)","Español","2018-06-12","2018-06-28","ESCUELA DE NEGOCIOS IESIDE","VIGO - LA CORUÑA","7","50%","PARCIAL","ÚNICAMENTE cubre exención de matrícula y costos académicos. NOTA: LOS PORCENTAJES DE EXENCIÓN DE MATRÍCULA SE ADJUDICARÁN CON BASE EN EL PUNTAJE FINAL DE PRESELECCIÓN OBTENIDO POR CADA ESTUDIANTE DE ACUERDO CON LOS PARÁMETROS SEÑALADOS EN ESTA CONVOCATORIA."
"6121418","España (Reino de España)","MAESTRÍAS EN DIFERENTES ÁREAS EN ESDEN BUSINESS SCHOOL","ADMINISTRACIÓN - ECONOMÍA","ESDEN BUSINESS SCHOOL","Presencial y semipresencial","TÍTULO PROPIO","2018-10-15","2019-07-31","9 Mes(es)","Español","2018-07-13","2018-07-26","ESDEN BUSINESS SCHOOL","Madrid","1","50%","PARCIAL","Se otorgará 1 beca del 50% de exención de matrícula para el MBA GLOBAL. NOTA: El porcentaje se adjudicará con base en el puntaje final de preselección obtenido por cada estudiante de acuerdo con los parámetros señalados en esta convocatoria."
"6121418","España (Reino de España)","MAESTRÍAS EN DIFERENTES ÁREAS EN ESDEN BUSINESS SCHOOL","ADMINISTRACIÓN - ECONOMÍA","ESDEN BUSINESS SCHOOL","Presencial y semipresencial","TÍTULO PROPIO","2018-10-15","2019-07-31","9 Mes(es)","Español","2018-07-13","2018-07-26","ESDEN BUSINESS SCHOOL","Madrid","1","50%","PARCIAL","Se otorgará 1 beca del 50 de exención de matrícula para el MBA fulltime con énfasis en (seleccionar uno):1. Digital Business 2. Dirección de Empresas de Moda 3. Dirección de Hoteles 4. Project Management 5. Dirección de Comercio Internacional 6. Dirección de Recursos Humanos NOTA: El porcentaje se adjudicará con base en el puntaje final de preselección obtenido por cada estudiante de acuerdo con los parámetros señalados en esta convocatoria."
"6121418","España (Reino de España)","MAESTRÍAS EN DIFERENTES ÁREAS EN ESDEN BUSINESS SCHOOL","ADMINISTRACIÓN - ECONOMÍA","ESDEN BUSINESS SCHOOL","Presencial y semipresencial","TÍTULO PROPIO","2018-10-15","2019-07-31","9 Mes(es)","Español","2018-07-13","2018-07-26","ESDEN BUSINESS SCHOOL","Madrid","1","50%","PARCIAL","Se otorgará 1 beca del 50% de exención de matrícula para el MASTER GLOBAL EN DIGITAL BUSINESS. NOTA: El porcentaje se adjudicará con base en el puntaje final de preselección obtenido por cada estudiante de acuerdo con los parámetros señalados en esta convocatoria."
"6121418","España (Reino de España)","MAESTRÍAS EN DIFERENTES ÁREAS EN ESDEN BUSINESS SCHOOL","ADMINISTRACIÓN - ECONOMÍA","ESDEN BUSINESS SCHOOL","Presencial y semipresencial","TÍTULO PROPIO","2018-10-15","2019-07-31","9 Mes(es)","Español","2018-07-13","2018-07-26","ESDEN BUSINESS SCHOOL","Madrid","1","50%","PARCIAL","Se otorgará 1 beca del 50% de exención de matrícula para el MASTER GLOBAL EN PROJECT MANAGEMENT. NOTA: El porcentaje se adjudicará con base en el puntaje final de preselección obtenido por cada estudiante de acuerdo con los parámetros señalados en esta convocatoria."
"6121618","Ecuador (República del Ecuador)","CONVOCATORIA DE BECAS COLOMBO - ECUATORIANAS PARA LA MOVILIDAD ACADÉMICA","MAESTRÍAS EN DIFERENTES ÁREAS","GOBIERNO DE ECUADOR","Presencial","TÍTULO OTORGADO POR LA UNIVERSIDAD RESPECTIVA","2018-10-01","2019-09-27","2 Año(s)","Español","2018-07-30","2018-08-16","DIFERENTES CENTROS DOCENTES","DIFERENTES CIUDADES - Ecuador","40","100%","COMPLETA"," "
"6121718","España (Reino de España)","MBA, MAESTRÍAS Y ESPECIALIZACIONES EN DIFERENTES ÁREAS","ADMINISTRACIÓN - ECONOMÍA","INSTITUTO EUROPEO DE POSGRADO - IEP","Virtual","TÍTULO OFICIAL / TÍTULO PROPIO","2018-04-26","2019-08-07","14 Mes(es)","Español","2018-04-03","2018-04-12","INSTITUTO EUROPEO DE POSGRADO (IEP)","Madrid","2","100%","COMPLETA","Se otorgarán 2 becas del 100% en exención de matrícula entre los programas ofrecidos en esta convocatoria. NOTA: LOS PORCENTAJES DE EXENCIÓN DE MATRÍCULA SE ADJUDICARÁN CON BASE EN EL PUNTAJE FINAL DE PRESELECCIÓN OBTENIDO POR CADA ESTUDIANTE DE ACUERDO CON LOS PARÁMETROS SEÑALADOS EN ESTA CONVOCATORIA."
"6121818","España (Reino de España)","MBA, MAESTRÍAS Y ESPECIALIZACIONES EN DIFERENTES ÁREAS","ADMINISTRACIÓN - ECONOMÍA","INSTITUTO EUROPEO DE POSGRADO - IEP","Virtual","TÍTULO OFICIAL / TÍTULO PROPIO","2018-04-26","2019-08-07","14 Mes(es)","Español","2018-04-03","2018-04-12","INSTITUTO EUROPEO DE POSGRADO (IEP)","Madrid","50","50%","PARCIAL","Se otorgarán 50 becas del 50% en exención de matrícula entre los programas ofrecidos en esta convocatoria. NOTA: LOS PORCENTAJES DE EXENCIÓN DE MATRÍCULA SE ADJUDICARÁN CON BASE EN EL PUNTAJE FINAL DE PRESELECCIÓN OBTENIDO POR CADA ESTUDIANTE DE ACUERDO CON LOS PARÁMETROS SEÑALADOS EN ESTA CONVOCATORIA."
"6216718","Reino Unido (Reino Unido de Gran Bretaña e Irlanda del Norte)","MAESTRÍAS EN DIFERENTES ÁREAS","MAESTRÍAS EN DIFERENTES ÁREAS","UNIVERSITY OF SALFORD MANCHESTER","Presencial","TÍTULO OTORGADO POR ESTA UNIVERSIDAD","2018-09-18","2019-09-14","12 Mes(es)","Inglés","2018-06-01","2018-06-28","UNIVERSITY OF SALFORD MANCHESTER","MANCHESTER","3","50%","PARCIAL","Se otorgarán 3 becas del 50% de exención de matrícula. NOTA: Los porcentajes se adjudicarán con base en el puntaje final de preselección obtenido por cada estudiante de acuerdo con los parámetros señalados en esta convocatoria."
"6216718","Reino Unido (Reino Unido de Gran Bretaña e Irlanda del Norte)","MAESTRÍAS EN DIFERENTES ÁREAS","MAESTRÍAS EN DIFERENTES ÁREAS","UNIVERSITY OF SALFORD MANCHESTER","Presencial","TÍTULO OTORGADO POR ESTA UNIVERSIDAD","2018-09-18","2019-09-14","12 Mes(es)","Inglés","2018-06-01","2018-06-28","UNIVERSITY OF SALFORD MANCHESTER","MANCHESTER","1","100%","COMPLETA","Se otorgará 1 beca del 100% de exención de matrícula. NOTA: El porcentaje se adjudicará con base en el puntaje final de preselección obtenido por cada estudiante de acuerdo con los parámetros señalados en esta convocatoria."
